step 3050 used 48079616K, path: <PathGroup with 5204 deadended, 22 active>
step 3060 used 48262260K, path: <PathGroup with 5222 deadended, 23 active>
step 3070 used 48421052K, path: <PathGroup with 5242 deadended, 19 active>
step 3080 used 48602840K, path: <PathGroup with 5259 deadended, 21 active>
step 3090 used 48783928K, path: <PathGroup with 5274 deadended, 22 active>
step 3100 used 48967004K, path: <PathGroup with 5292 deadended, 23 active>
step 3110 used 49152932K, path: <PathGroup with 5312 deadended, 19 active>
step 3120 used 49335504K, path: <PathGroup with 5329 deadended, 21 active>
step 3130 used 49516496K, path: <PathGroup with 5344 deadended, 22 active>
step 3140 used 49699192K, path: <PathGroup with 5362 deadended, 23 active>
step 3150 used 49885896K, path: <PathGroup with 5382 deadended, 19 active>
step 3160 used 50068756K, path: <PathGroup with 5399 deadended, 21 active>
step 3170 used 50250292K, path: <PathGroup with 5414 deadended, 22 active>
step 3180 used 50433828K, path: <PathGroup with 5432 deadended, 23 active>
step 3190 used 50620096K, path: <PathGroup with 5452 deadended, 19 active>
step 3200 used 50777796K, path: <PathGroup with 5469 deadended, 21 active>
step 3210 used 50958056K, path: <PathGroup with 5484 deadended, 22 active>
step 3220 used 51141332K, path: <PathGroup with 5502 deadended, 23 active>
step 3230 used 51327792K, path: <PathGroup with 5522 deadended, 19 active>
step 3240 used 51511204K, path: <PathGroup with 5539 deadended, 21 active>
step 3250 used 51692940K, path: <PathGroup with 5554 deadended, 22 active>
step 3260 used 51875956K, path: <PathGroup with 5572 deadended, 23 active>
step 3270 used 52063180K, path: <PathGroup with 5592 deadended, 19 active>
step 3280 used 52246880K, path: <PathGroup with 5609 deadended, 21 active>
step 3290 used 52429176K, path: <PathGroup with 5624 deadended, 22 active>
step 3300 used 52613296K, path: <PathGroup with 5642 deadended, 23 active>
step 3310 used 52800336K, path: <PathGroup with 5662 deadended, 19 active>
step 3320 used 52984308K, path: <PathGroup with 5679 deadended, 21 active>
step 3330 used 53167416K, path: <PathGroup with 5694 deadended, 22 active>
step 3340 used 53323092K, path: <PathGroup with 5712 deadended, 23 active>
step 3350 used 53509144K, path: <PathGroup with 5732 deadended, 19 active>
